,NAME,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-02-07,2022-02-08,2022-02-09,2022-02-10
BK1042,医药商业,22.54,15.83,4.32,7.67,6.71,19.66,15.11,40.53,22.78,61.63,63.79,25.66,12.23,10.07,8.63,8.39,36.93,32.13,41.01,42.93,79.62,21.1,33.09,21.1,81.77,27.82,36.45,24.22,45.08,39.33,53.96,86.57,90.89,70.74,15.83,5.76,0.72,6.71,17.51,29.74,35.97,60.43,50.12,66.91,74.58,64.51,15.35,45.32,27.58,29.5,32.85,47.24,76.26,74.34,74.34,78.18,87.05,80.34,73.62,81.06,80.1,91.13,87.77,96.64,99.52,98.56,94.96,74.1,15.11,7.19,27.58,22.06,34.05,28.78,16.07,5.76,5.76,9.11,12.71,34.05,30.46,29.02,10.79,19.9,18.47,18.71,14.87,35.25,39.81,19.66,19.66,13.43,3.6,8.63,10.55,29.98,48.68,76.74,60.43,28.06,20.38,18.23,26.14,64.51,73.86,85.61,85.85,82.49,55.88,68.82,19.18,29.02,47.96,31.65,29.98,19.42,63.55,92.33,93.53,93.05,94.24,97.36,87.77,88.73,91.13,97.84,92.09,96.64,96.88,88.49,89.21,47.0,1.2,4.08,11.27,6.47,11.99,31.65,14.63,22.54,23.26,41.01,47.72,55.64,49.88
BK0736,电信运营,22.3,9.83,13.67,13.19,29.98,21.34,50.36,76.26,68.11,85.85,77.46,39.33,30.46,29.5,5.28,26.38,56.35,37.89,42.69,86.81,55.4,30.7,50.36,38.85,12.47,25.42,23.5,19.9,20.14,3.36,3.6,12.71,97.12,96.88,73.38,24.46,6.95,0.0,0.0,35.49,76.26,97.6,95.44,79.14,44.12,42.45,10.79,41.97,45.8,63.07,80.1,74.1,29.02,57.79,65.47,24.46,12.71,24.46,25.9,48.2,39.09,79.38,92.09,82.73,83.69,83.45,95.92,81.06,53.0,13.43,31.18,1.68,3.6,7.43,26.14,65.47,57.55,44.12,46.76,30.7,11.03,36.45,30.7,29.98,29.74,42.45,20.38,31.18,80.1,87.53,74.34,93.76,83.45,27.82,58.51,68.35,7.43,4.8,46.76,25.18,16.07,32.61,51.32,30.46,10.55,21.1,19.66,70.26,87.05,89.45,92.09,91.61,87.05,77.7,76.02,35.97,28.54,19.18,23.74,23.5,58.27,51.08,77.46,82.01,72.9,50.36,57.79,45.8,17.27,57.07,61.39,87.29,79.62,90.17,79.62,87.77,65.95,41.49,19.66,23.5,28.78,13.43,50.6,83.21,81.53
BK0665,电商概念,22.06,35.49,17.27,15.11,25.66,27.82,29.74,41.97,28.3,29.5,20.14,8.15,4.56,7.67,11.51,13.43,14.63,15.35,17.27,17.03,41.01,24.7,30.22,32.13,75.06,50.84,58.99,58.51,64.27,48.44,47.72,51.56,58.03,49.88,19.9,25.66,34.77,41.01,42.45,32.13,35.25,44.6,32.13,49.88,62.35,57.07,40.05,54.2,37.65,44.84,37.17,28.54,50.12,53.72,33.81,42.69,68.11,66.19,53.96,78.18,78.42,89.93,88.49,91.85,88.97,92.81,71.46,46.28,27.82,17.51,18.23,32.61,29.02,19.42,16.79,29.5,24.94,38.37,56.12,71.94,52.28,54.44,49.4,41.97,39.09,38.13,18.71,35.97,52.76,42.21,40.29,50.84,24.46,20.86,36.45,32.13,41.49,43.17,35.97,24.46,35.01,29.98,59.47,72.42,70.5,78.66,87.29,83.21,59.95,69.06,43.41,40.29,53.24,57.55,60.91,65.71,80.82,78.66,72.42,64.51,73.62,48.44,61.63,78.18,80.58,78.18,78.9,70.5,59.47,74.1,68.35,40.29,31.89,47.72,42.69,51.32,48.68,56.12,32.85,31.18,29.5,38.37,55.88,60.43,60.43
BK0825,新零售,21.82,56.83,17.99,13.67,14.15,16.07,6.71,17.75,17.51,25.42,27.1,11.99,5.76,8.15,17.51,12.71,13.67,14.15,15.83,14.15,39.57,26.62,35.01,37.65,64.03,42.21,46.28,35.73,46.04,44.6,46.76,47.96,52.04,50.6,17.27,20.38,29.02,38.85,39.33,37.41,40.77,47.48,34.05,49.64,58.27,58.51,56.59,67.63,55.88,58.51,49.64,23.5,31.41,38.61,26.62,37.17,71.7,71.94,68.59,82.49,81.06,90.65,84.17,92.57,87.05,93.05,63.07,41.01,12.95,11.51,9.59,24.7,32.13,38.61,41.73,65.95,68.82,71.7,76.5,77.22,47.72,45.56,41.73,25.9,23.74,23.26,7.91,26.14,43.65,37.17,40.77,60.67,28.06,23.02,39.09,34.05,51.32,54.92,46.04,36.93,54.68,48.92,72.42,77.46,72.9,75.78,83.69,69.78,40.05,49.16,29.98,29.5,52.76,66.91,69.54,82.73,89.93,87.05,73.38,67.15,62.11,15.83,43.41,71.7,74.82,70.98,73.86,64.27,45.32,76.5,74.82,44.84,30.46,49.4,38.85,60.91,51.8,69.54,48.68,41.97,49.16,66.91,74.58,75.06,65.47
BK0904,广电,21.58,19.66,41.49,59.47,58.99,70.26,79.14,86.33,68.35,18.23,6.95,18.94,26.86,29.98,41.97,44.12,30.94,18.23,20.62,14.87,18.47,18.23,20.38,11.99,12.95,19.18,32.61,42.69,59.23,65.23,65.47,61.63,78.18,63.07,72.42,35.97,42.45,49.16,66.91,68.11,85.61,92.57,83.21,78.9,75.78,64.75,92.57,85.85,83.21,81.29,74.1,15.35,46.28,23.5,22.3,50.36,36.93,23.98,45.56,52.04,45.56,43.65,75.3,70.5,62.11,55.88,36.21,43.17,24.7,19.42,20.62,47.96,25.18,36.21,39.81,68.59,61.87,83.93,76.26,88.73,74.1,90.17,91.37,91.61,79.86,92.57,50.12,77.94,98.32,95.68,41.01,58.27,9.11,1.2,6.95,13.19,8.63,6.71,7.19,2.64,1.68,4.08,23.5,43.41,21.58,49.16,80.1,93.05,96.4,97.6,98.56,98.56,98.08,94.0,94.24,90.89,85.13,56.35,16.55,2.4,25.42,42.93,95.92,97.36,98.8,97.6,90.65,83.93,42.69,69.06,45.08,88.49,84.89,94.48,96.64,92.33,64.51,11.51,0.96,1.2,4.32,6.71,34.53,94.48,91.61
BK0465,化学制药,21.34,11.27,1.68,2.16,3.6,22.78,62.83,79.62,77.94,89.21,87.29,55.16,34.05,22.54,7.91,6.47,11.99,21.34,39.81,56.12,89.69,51.08,69.54,35.97,42.21,3.36,6.71,4.56,20.62,25.9,30.46,44.12,59.23,26.38,6.71,14.63,18.94,8.39,19.66,17.99,17.03,21.1,17.03,39.81,74.1,74.58,45.56,72.9,46.28,33.57,43.41,46.76,63.07,84.17,78.42,75.78,88.73,88.25,69.78,69.54,80.58,77.22,48.2,76.26,82.97,69.78,42.21,13.91,10.79,6.95,7.43,6.47,29.26,20.62,15.11,29.74,29.26,29.98,30.7,52.76,33.81,37.89,19.42,35.25,49.4,50.12,39.33,78.42,89.45,57.79,63.31,54.68,13.19,10.55,18.23,69.54,77.46,90.89,87.29,44.84,17.51,10.55,9.11,18.71,33.09,31.18,26.14,17.75,32.61,21.1,10.31,24.7,58.75,47.72,79.38,88.73,94.24,96.64,97.12,97.36,97.12,95.92,62.35,43.17,54.68,36.69,45.08,88.25,97.6,93.29,97.12,97.12,61.15,59.95,73.38,6.0,2.64,4.56,4.56,6.0,14.63,27.34,31.18,49.16,20.86
BK0535,QFII重仓,21.1,36.93,36.93,37.17,44.36,58.75,35.49,32.37,24.46,27.82,24.22,43.65,44.36,52.04,41.01,38.85,45.8,61.63,62.11,69.3,79.86,64.27,60.91,44.36,54.92,42.69,31.18,25.18,38.37,31.41,38.13,34.05,32.85,26.14,36.45,56.35,71.22,63.07,63.79,41.49,25.9,14.87,19.42,17.03,29.5,34.05,19.42,16.31,29.74,11.75,14.15,30.7,26.38,24.94,35.01,13.91,38.85,66.43,65.23,73.14,82.97,63.55,32.13,36.21,50.84,59.71,84.17,82.25,80.34,64.03,62.11,62.35,76.74,77.46,73.14,75.3,66.67,74.82,75.06,74.82,65.95,58.75,44.36,35.01,38.13,44.12,55.88,60.19,59.23,68.59,64.51,54.92,63.31,57.31,43.41,40.05,42.69,42.69,37.17,34.53,28.54,25.42,22.06,37.17,42.21,46.28,60.67,72.9,64.99,47.48,34.53,18.47,17.51,15.59,28.3,43.65,60.91,70.98,81.77,59.95,49.16,45.32,24.7,21.34,30.22,29.02,24.7,33.57,54.2,28.78,44.36,39.57,53.48,47.0,54.92,43.41,45.8,55.64,55.64,58.51,52.76,51.8,29.5,13.19,10.31
BK1043,专业服务,20.86,39.57,39.09,37.65,29.74,71.94,42.69,11.75,12.47,14.87,9.59,24.22,38.37,18.47,18.71,19.9,9.59,17.75,21.1,48.92,60.91,55.16,39.81,38.13,52.28,28.3,14.15,18.23,31.89,55.88,38.61,57.79,78.42,95.44,77.22,75.3,65.71,46.04,7.67,17.51,9.59,10.55,22.3,29.74,28.78,55.88,33.09,33.33,25.42,12.95,2.4,29.02,13.67,44.6,66.91,52.76,50.6,69.54,20.38,16.31,32.85,12.71,5.04,28.78,52.76,27.1,56.83,62.35,62.83,42.21,32.61,17.75,22.06,16.31,26.38,16.07,22.3,15.83,25.18,17.03,58.99,48.44,46.28,48.68,55.64,32.85,52.52,83.21,68.82,92.33,93.53,82.97,58.75,50.12,29.74,42.69,66.91,74.34,85.85,68.11,28.78,11.75,7.67,10.07,9.59,27.34,44.36,75.54,83.69,77.94,77.7,69.54,68.11,68.59,70.02,72.18,45.08,23.98,23.26,21.82,35.01,71.46,67.63,58.03,63.55,41.97,37.41,49.4,77.22,82.73,87.29,92.09,82.49,79.86,59.71,20.38,12.71,5.76,3.36,15.11,19.42,28.78,49.4,66.19,31.89
BK0633,送转预期,20.62,22.78,20.86,28.78,44.6,59.47,76.26,79.14,56.35,47.48,28.78,38.37,47.96,53.0,30.94,25.42,12.47,19.18,35.25,47.72,71.94,61.15,62.59,51.56,64.51,55.4,75.54,79.14,80.82,80.1,69.3,35.01,35.97,24.94,32.85,35.25,65.47,70.98,73.62,58.51,60.43,45.32,47.48,67.63,70.26,55.4,47.96,22.3,9.59,9.35,16.79,53.24,61.87,49.64,36.21,13.19,23.98,41.49,35.73,56.35,82.25,67.39,88.73,70.98,74.1,81.29,83.21,76.26,86.57,83.45,83.45,89.69,83.21,50.84,47.96,7.67,10.55,24.94,34.77,27.58,62.83,50.12,34.53,58.51,62.83,69.3,80.1,68.82,70.74,85.85,47.0,29.98,57.55,68.59,73.86,90.89,86.57,91.61,67.15,60.43,18.71,8.63,10.79,19.9,10.07,42.93,53.72,57.07,54.68,40.05,24.22,23.5,22.3,23.98,34.05,39.33,59.95,70.26,72.18,62.59,56.35,25.42,19.18,22.3,22.54,24.46,36.69,44.6,59.71,31.41,42.45,35.25,40.77,60.19,73.14,70.98,48.44,38.13,26.38,34.05,26.14,59.23,66.67,57.31,43.88
BK0456,家电行业,20.38,30.7,22.54,12.23,12.47,18.71,5.04,13.43,18.94,23.74,16.07,13.67,7.91,12.71,24.22,21.58,25.18,26.14,29.74,30.94,58.27,39.81,57.31,65.47,91.37,70.02,67.87,42.45,62.11,27.1,37.17,44.36,66.43,72.18,73.62,66.19,61.63,47.24,35.25,16.55,8.39,12.95,8.39,11.03,29.74,31.18,15.59,37.17,31.89,18.71,21.1,24.7,22.06,35.97,25.42,15.59,47.96,62.11,56.83,86.57,88.01,91.85,88.25,84.17,70.02,84.89,82.25,75.54,65.71,43.41,38.37,83.69,81.29,60.67,57.31,83.21,33.09,62.59,76.98,81.77,57.79,64.27,58.99,51.32,50.12,45.08,33.09,44.12,77.7,84.17,65.95,63.79,44.6,28.3,21.1,53.48,54.44,44.6,27.34,39.57,43.41,31.89,55.64,68.59,72.66,85.13,92.57,86.33,58.03,38.61,11.03,6.24,21.82,29.02,24.94,20.86,36.21,50.12,67.63,78.66,78.9,78.42,50.12,57.31,64.27,82.97,80.1,77.22,47.24,33.81,9.59,9.59,20.86,32.61,47.0,57.55,59.71,64.99,47.72,45.56,64.99,65.95,50.12,36.45,19.18
BK0944,肝素概念,20.14,10.07,5.76,3.12,3.12,6.71,29.26,74.1,88.49,94.96,94.48,81.53,55.4,47.72,16.31,14.63,35.73,48.92,62.83,85.37,99.04,97.84,99.28,93.05,94.0,1.44,0.24,0.24,0.72,6.47,8.63,14.87,26.86,35.01,2.16,2.4,3.6,1.44,3.84,17.03,28.06,27.1,44.6,55.88,81.53,71.46,55.88,51.32,39.57,37.41,34.05,25.9,59.23,71.22,68.82,81.29,92.81,89.21,76.02,67.15,65.71,48.44,17.51,62.59,71.7,63.55,27.1,23.26,6.71,20.86,26.62,54.92,79.38,73.86,37.41,58.99,31.89,16.31,23.02,33.09,19.18,40.05,35.25,36.21,71.7,65.23,46.52,71.94,88.97,23.74,53.96,53.0,11.27,5.04,8.15,44.12,72.42,95.44,96.64,89.93,72.18,54.68,19.42,40.77,63.55,51.56,29.5,13.91,8.15,4.08,1.2,9.83,57.07,56.83,74.1,92.33,97.84,98.56,98.56,98.8,97.6,95.68,43.65,49.64,85.85,67.15,45.56,94.72,97.84,86.33,96.64,96.64,58.51,39.09,71.94,7.67,4.32,7.67,4.08,4.56,2.64,20.86,17.99,71.22,33.09
BK0698,免疫治疗,19.9,14.63,5.28,5.04,5.28,6.95,31.18,47.72,46.04,47.0,60.91,25.42,9.83,4.56,2.64,2.88,12.95,29.26,61.15,85.61,95.68,66.19,70.26,21.58,11.51,0.48,0.96,1.68,4.56,11.99,29.5,45.08,52.52,21.1,10.07,5.28,15.83,6.0,23.98,7.91,7.19,15.83,19.9,46.28,79.14,88.49,74.82,81.77,45.08,58.27,73.38,35.25,31.18,76.02,55.4,36.45,84.41,79.86,27.82,36.69,40.53,28.78,27.34,70.26,82.01,70.26,30.7,6.24,7.19,2.88,9.83,24.94,53.96,43.41,41.49,58.03,37.65,46.28,38.85,78.42,48.92,52.04,31.65,35.49,36.69,31.18,24.46,64.27,84.41,45.8,42.21,45.32,22.06,14.63,25.9,79.62,83.69,90.65,93.53,64.51,30.94,16.55,13.67,21.1,27.34,32.61,39.33,30.22,37.89,51.56,15.35,28.3,60.19,33.09,41.97,60.43,87.05,90.65,90.65,94.0,94.48,90.89,71.46,66.67,62.35,70.26,76.5,95.2,98.08,95.2,96.4,89.93,31.41,18.71,28.3,3.36,3.84,5.52,8.39,19.9,24.7,27.82,33.81,41.25,27.34
BK0707,沪股通,19.66,30.46,22.3,39.33,42.93,50.12,49.16,74.34,77.22,76.02,57.31,54.44,37.41,44.84,37.65,32.85,55.4,47.48,34.77,47.24,51.08,33.33,43.17,54.2,65.23,59.47,59.47,49.64,54.68,49.16,53.48,60.19,63.79,63.31,43.65,48.2,47.72,51.8,58.75,67.39,64.99,73.38,76.74,70.26,76.5,79.86,58.03,64.27,74.1,65.95,39.09,51.08,24.22,42.21,50.84,66.67,67.39,72.66,78.42,73.86,65.23,44.84,30.7,32.37,26.38,26.14,49.4,56.12,56.83,55.64,70.5,68.82,71.94,68.35,75.54,76.02,66.19,51.56,49.4,35.73,28.54,27.1,24.7,15.59,15.35,22.78,22.06,23.02,31.18,25.66,22.54,31.41,45.32,42.69,46.76,39.33,36.45,41.73,28.54,22.54,35.25,49.64,65.47,74.82,86.81,84.17,76.26,68.59,28.78,23.98,23.98,32.61,29.02,36.69,35.25,51.08,68.11,70.5,71.94,71.94,46.04,28.78,17.99,26.86,26.14,43.17,37.17,58.03,54.44,52.52,28.78,20.62,45.8,50.6,74.1,72.42,82.01,85.37,86.33,82.49,68.59,69.78,49.88,29.26,20.62
BK0546,玻璃玻纤,19.42,68.35,57.79,61.39,80.58,91.13,87.77,92.81,94.48,95.44,57.79,73.86,62.35,51.8,47.72,28.3,24.22,55.64,43.88,49.16,75.06,79.14,71.7,79.38,46.28,42.45,22.3,18.71,31.65,8.87,9.59,16.07,18.71,24.46,60.67,83.93,91.85,94.24,90.41,92.09,91.13,69.78,77.22,76.02,46.28,47.96,65.95,15.11,10.31,14.63,1.68,23.02,8.39,15.11,15.11,17.03,6.24,8.39,9.11,12.23,10.31,14.15,23.5,26.62,43.41,71.22,85.37,84.89,82.25,74.82,73.86,87.77,91.85,89.69,81.77,82.73,58.99,50.84,50.6,39.57,41.01,27.34,22.54,21.82,16.07,21.1,51.56,38.85,36.21,58.27,72.9,72.42,80.1,75.06,80.58,56.12,41.01,24.94,16.07,28.78,46.04,67.39,86.33,88.49,82.01,71.22,62.83,34.77,4.08,14.39,31.18,37.89,15.11,32.13,46.52,35.25,47.48,62.11,51.08,33.09,24.94,13.19,18.94,29.74,33.57,52.28,59.23,70.98,55.88,27.34,13.19,4.8,3.12,13.91,29.02,36.93,70.5,84.17,76.02,82.73,79.38,78.9,71.22,70.5,51.56
BK0934,蝗虫防治,19.18,20.38,44.84,66.67,79.86,62.83,87.29,74.58,31.18,34.29,54.2,24.94,53.48,54.92,40.53,30.46,25.66,19.42,17.03,20.86,37.89,35.97,39.33,40.77,15.83,17.03,13.19,23.98,58.51,49.4,62.11,83.69,64.51,41.73,50.12,55.4,55.64,50.84,61.63,81.29,83.21,70.98,83.45,82.01,48.44,62.59,89.93,94.96,90.41,96.4,97.36,97.36,97.36,98.08,96.16,92.81,37.65,7.91,3.6,4.32,3.6,4.08,6.0,19.18,11.27,9.59,7.91,17.99,23.26,53.48,78.18,87.05,65.23,68.11,69.06,50.36,34.53,45.32,41.73,32.85,32.13,31.18,19.66,24.22,26.62,36.69,62.59,70.02,86.81,79.14,67.63,41.73,50.36,51.56,87.77,95.68,97.84,95.68,97.36,95.44,87.77,66.91,59.95,34.77,40.05,17.99,38.61,12.71,11.99,8.39,34.77,25.9,73.62,85.85,93.29,98.08,96.64,95.92,99.04,99.28,90.17,95.2,91.61,76.98,68.59,61.87,65.47,73.38,76.26,87.77,93.53,68.82,68.11,65.71,49.4,23.02,61.63,43.88,53.24,63.79,85.85,58.27,55.16,39.57,24.94
BK0936,长寿药,18.94,13.67,10.07,13.43,11.99,32.61,66.19,87.29,79.14,64.27,65.23,38.61,9.59,14.63,27.82,14.87,10.79,7.19,10.31,8.39,34.77,36.45,64.03,46.04,60.43,45.56,32.85,26.14,48.2,65.47,47.0,67.39,55.64,36.69,15.11,26.62,23.74,30.7,41.01,18.47,30.7,38.85,60.91,68.59,91.37,80.82,82.01,65.23,52.52,64.99,84.41,73.38,92.81,94.72,93.05,94.72,98.08,90.17,74.82,69.78,60.19,53.72,57.79,73.62,73.86,44.84,11.03,8.15,6.24,5.76,4.56,21.34,26.86,25.9,24.94,60.67,44.6,34.77,50.84,49.64,44.6,35.97,35.49,19.18,35.25,19.9,24.94,96.64,98.8,98.32,95.2,94.48,11.99,7.67,11.99,97.12,98.56,98.8,98.32,96.4,47.72,15.35,6.95,25.66,37.41,28.54,20.14,27.58,12.47,16.07,11.75,52.76,94.24,94.24,98.56,99.52,98.8,99.52,99.76,99.52,97.84,98.56,86.09,65.71,58.99,38.37,64.51,91.13,93.05,95.44,97.6,94.72,51.8,68.11,55.16,9.11,6.71,6.71,7.19,16.79,16.79,13.67,11.75,17.03,12.95
BK0697,IPO受益,18.71,22.06,18.94,36.21,33.09,36.69,47.24,70.98,58.51,55.4,51.8,39.09,40.53,43.88,30.7,25.9,31.89,14.39,9.83,15.59,30.22,24.22,38.85,46.28,45.8,38.37,54.92,49.88,58.75,69.06,62.35,64.99,60.19,59.47,29.74,41.73,41.25,62.59,62.59,62.11,70.26,80.34,77.94,80.82,88.97,83.93,80.1,80.82,78.18,78.9,60.19,52.52,23.5,46.28,48.68,77.22,64.51,64.99,78.18,66.43,57.07,71.22,81.53,47.96,28.54,25.9,17.51,15.83,25.18,42.69,49.64,54.44,34.29,34.29,36.93,51.32,40.77,35.01,37.89,33.57,22.06,25.18,34.05,33.81,42.69,46.76,37.17,40.53,51.56,50.6,58.51,74.82,59.23,43.88,34.29,33.81,29.5,19.9,22.06,14.63,23.98,47.24,75.78,75.3,79.62,74.58,51.56,21.58,19.66,46.52,44.12,58.75,68.59,76.98,61.87,66.67,70.26,68.59,49.16,74.82,81.06,70.26,62.11,75.54,65.47,62.59,53.48,67.63,50.36,53.96,32.13,31.41,18.94,28.78,41.97,63.79,55.88,62.35,54.44,45.08,48.2,71.7,75.78,79.38,76.98
BK0486,文化传媒,18.47,23.98,21.58,26.62,26.38,30.7,34.05,42.93,48.68,35.01,19.42,12.71,11.51,10.55,18.23,15.35,13.19,7.91,4.56,4.56,18.94,12.95,5.28,4.32,10.79,7.43,23.26,40.53,47.96,42.45,54.2,64.75,71.7,75.54,44.36,27.1,38.37,39.33,45.32,49.88,65.71,82.97,71.94,84.89,85.61,88.97,87.53,85.61,68.82,74.34,63.79,18.94,39.57,33.33,14.15,34.05,34.53,31.41,34.77,54.2,50.84,63.79,80.1,80.82,80.82,89.93,68.11,53.0,31.65,20.38,10.31,35.49,22.3,29.98,28.3,64.75,53.48,75.78,69.54,86.57,54.2,79.38,93.29,92.57,89.93,93.29,41.73,54.92,85.61,73.38,26.38,40.77,8.15,8.39,20.38,14.87,10.31,10.31,6.71,3.6,10.07,11.99,47.72,70.26,62.35,86.09,96.88,98.56,99.04,99.28,99.04,98.8,98.8,90.41,94.0,75.54,70.98,46.76,20.14,2.88,79.62,76.02,97.84,97.84,96.64,86.33,83.69,37.17,12.23,52.76,50.84,75.06,61.87,82.97,67.63,70.5,28.78,22.78,7.43,8.15,6.95,6.95,25.42,48.92,74.1
BK0929,地塞米松,18.23,9.59,4.08,6.24,8.15,19.9,57.79,85.85,87.05,88.25,84.89,47.48,14.15,11.75,12.23,8.63,7.91,12.95,18.71,46.04,85.85,64.03,84.65,83.69,85.61,25.18,28.54,17.27,27.58,52.28,53.24,65.47,70.98,56.35,13.19,23.02,3.12,10.79,35.01,18.23,21.58,52.76,60.43,71.22,93.53,93.29,83.69,89.45,78.66,69.78,82.49,77.7,80.1,90.65,87.05,83.21,90.17,90.65,58.27,49.64,67.15,64.99,19.66,49.4,63.31,42.93,12.71,1.2,5.52,11.03,28.54,57.79,83.93,70.5,50.84,27.82,43.17,72.18,43.88,29.98,41.73,31.89,14.63,52.52,78.42,68.35,65.71,57.07,45.32,17.03,14.87,6.47,4.56,5.28,7.91,53.0,56.59,82.97,89.69,55.64,33.09,73.62,40.05,50.36,75.06,76.74,42.69,43.17,23.02,25.9,9.83,31.18,72.42,65.23,75.3,88.25,94.96,96.4,95.44,95.68,96.4,96.64,94.0,89.93,87.53,66.43,56.83,65.47,92.81,60.43,91.85,37.41,1.68,1.2,9.59,3.6,6.95,12.47,19.18,20.14,35.73,44.12,46.76,50.84,48.2
BK0612,上证180_,17.99,21.82,19.42,39.81,42.45,38.61,15.35,58.27,55.4,55.88,54.44,66.43,41.73,60.19,40.05,29.74,56.12,41.49,18.23,48.68,59.71,34.05,49.64,67.87,63.07,59.95,51.56,29.02,28.3,26.14,43.65,70.5,71.22,63.55,26.38,33.33,18.23,20.86,43.65,56.83,58.03,80.1,85.37,76.5,84.89,82.49,29.98,39.09,69.06,52.28,15.59,20.62,9.83,21.34,28.06,50.12,73.14,87.29,84.17,88.73,85.13,79.62,51.56,46.04,29.98,41.25,64.27,47.72,49.4,39.57,65.47,69.78,82.73,79.62,84.65,87.29,78.18,45.56,47.48,26.14,13.43,14.87,17.75,10.79,7.67,19.42,13.91,10.55,17.75,10.07,7.43,11.75,25.66,19.9,19.18,17.27,11.27,16.07,10.31,11.27,30.46,55.64,77.7,88.97,94.96,94.96,87.53,77.7,15.11,11.03,6.47,11.51,12.47,22.3,13.67,21.58,54.44,60.91,67.15,77.46,41.97,16.31,7.67,20.86,13.19,35.01,32.85,58.99,43.65,62.59,16.79,16.07,50.12,55.16,87.05,87.53,92.57,94.48,94.72,93.29,77.94,75.06,42.69,17.75,10.79
BK0679,超导概念,17.75,19.9,82.01,87.53,91.37,89.45,89.69,65.95,66.43,40.29,82.01,84.41,66.67,57.55,66.19,28.78,10.31,53.24,65.47,71.7,78.66,80.58,93.53,94.96,97.36,98.08,99.28,99.28,99.04,96.64,84.65,53.48,31.65,45.56,87.05,86.33,76.98,76.5,72.66,82.25,87.05,39.57,35.01,13.43,11.03,6.0,36.21,26.38,79.14,68.82,11.03,85.37,68.35,64.51,90.17,95.68,42.93,13.67,10.79,8.39,7.91,9.35,80.82,38.85,25.66,41.49,41.97,66.91,74.1,81.53,68.59,58.51,41.25,36.69,57.07,56.59,88.49,97.6,98.08,97.12,98.56,97.6,94.72,95.92,96.64,50.6,98.32,85.13,88.49,98.8,99.52,98.32,95.92,72.42,7.67,9.35,31.41,59.71,80.34,75.3,31.65,6.95,31.65,24.46,50.84,35.49,49.64,5.76,24.22,35.97,54.2,68.59,26.62,21.1,4.32,18.71,2.88,5.76,10.07,16.55,7.19,59.47,47.96,26.38,24.22,15.35,9.83,6.95,25.9,12.47,21.58,15.11,9.35,2.64,1.2,7.43,17.03,19.18,64.51,86.57,97.36,94.48,91.13,85.13,66.67
